		Function							Index	SA1.1	SA-Z
#define	PDC_EXIST_SENSOR_GAIN				2 		0		0
#define	PDC_EXIST_SENSOR_GAMMA				3 		0		0
#define	PDC_EXIST_COLORTEMP					4 		0		0
#define	PDC_EXIST_DSSHUTTER					5 		1		1
#define	PDC_EXIST_LUT						6 		1		1
#define	PDC_EXIST_SHADING					7 		1		1
#define	PDC_EXIST_II						8 		0		0
#define	PDC_EXIST_EDGE_ENHANCE				9 		1		1
#define	PDC_EXIST_VIDEO_OUT					10		1		1
#define	PDC_EXIST_SHUTTERLOCK				11		1		1
#define	PDC_EXIST_PARTITIONINC				12		1		1
#define	PDC_EXIST_HEADEXCHANGE				13		0		0
#define	PDC_EXIST_KEYLOCK					14		1		1
#define	PDC_EXIST_IRIG						15		1		1
#define	PDC_EXIST_MCDL						16		1		0
#define	PDC_EXIST_FRAME_ZERO				17		1		1
#define	PDC_EXIST_PIXELGAIN					18		1		1
#define	PDC_EXIST_COLOR_ENHANCE				19		0		0
#define	PDC_EXIST_AUTO_EXPOSURE				20		1		1
#define	PDC_EXIST_DELAY						21		1		1
#define	PDC_EXIST_DOWNLOAD_MODE				22		1		1
#define	PDC_EXIST_VARIABLE_FUNCTION			23		1		1
#define	PDC_EXIST_LOWLIGHT_MODE				24		1		1
#define	PDC_EXIST_PROGSWITCH_MODE			25		1		1
#define	PDC_EXIST_SHUTTERSPEED_USEC			26		1		1
#define	PDC_EXIST_SYNCOUT_TIMES				27		1		1
#define	PDC_EXIST_STORE						28		1		1
#define	PDC_EXIST_ETHER_INFO				29		1		1
#define	PDC_EXIST_IRIG_PHASELOCK			30		1		1
#define	PDC_EXIST_HIGH_SPEED_MODE			31		1		1
#define	PDC_EXIST_BURST_TRANSFER			32		1		1
#define	PDC_EXIST_STEP_SHUTTER				33		0		0
#define PDC_EXIST_LIVE_RESOLUTION			34		0		0
#define	PDC_EXIST_BITDEPTH					35		0		1
#define	PDC_EXIST_FPGA_SETTING				36		0		0
#define	PDC_EXIST_CAMERA_DEF_FILE			37		0		0
#define	PDC_EXIST_IMAGE_ADDRESS				38		0		0
#define	PDC_EXIST_SYNC_PRIORITY				39		0		0
#define	PDC_EXIST_ROI						40		0		0
#define	PDC_EXIST_CAMERA_COMMAND			41		0		0
#define	PDC_EXIST_VIDEO_SIGNAL				42		0		1
#define	PDC_EXIST_VIDEO_HDSDI				43		0		1
#define	PDC_EXIST_RECORDING_TYPE			44		0		1
#define	PDC_EXIST_GHOST_REDUCTION			45		0		0
#define	PDC_EXIST_SOFT_COLORTEMP			46		0		0
#define	PDC_EXIST_AUTO_PLAY					47		0		1
#define	PDC_EXIST_FACTORY_DEFAULTS			48		0		1
#define	PDC_EXIST_STORE_PRESET				49		0		1
#define	PDC_EXIST_SHUTTERSPEED_NSEC			50		1		1
#define PDC_EXIST_INSTRUCTIONSET			51		1		1
#define	PDC_EXIST_RESOLUTIONLOCK			52		0		1
#define PDC_EXIST_LED_MODE					53		0		1
#define PDC_EXIST_LIVE_IRIG					54		0		1
#define	PDC_EXIST_VIDEO_OSD					55		0		0
#define PDC_EXIST_SENSOR_TEMP				56		0		0
#define	PDC_EXIST_SHADING_OFFSET			57		0		0
#define	PDC_EXIST_MEMORY_BLOCK				58		0		0
#define	PDC_EXIST_LIVE_RESOLUTION_SCALE		59		0		0
#define	PDC_EXIST_FRAME_ADDRESS				60		0		0
#define	PDC_EXIST_DROP_FRAME				61		0		0
#define	PDC_EXIST_TEST_PATERN				62		0		0
#define	PDC_EXIST_OFFSET_AS					63		0		0
#define	PDC_EXIST_H_BANDING					64		0		0
#define PDC_EXIST_KEYPAD_COMMAND			65		0		0
#define	PDC_EXIST_POLARIZATION				66		0		0
#define	PDC_EXIST_SHADING_TYPE				67		0		0
#define	PDC_EXIST_BLACK_CLIP_LEVEL			68		0		0
#define	PDC_EXIST_BITDEPTH2					69		0		0
#define	PDC_EXIST_SUB_PORT					70		0		0
#define	PDC_EXIST_SUB_INTERFACE				71		0		1
#define	PDC_EXIST_EXPOSE_EXTENSION			72		0		1
#define PDC_EXIST_BATTERY_POWERMODE			73		0		0
#define PDC_EXIST_SYNCIN_SIGNAL_STATUS		74		0		0
#define PDC_EXIST_VFPN_DATA					75		0		0
#define PDC_EXIST_SENSORLUT_DATA			76		0		0
